Id,User,ISBN,Rating
247128,2178,0449911004,3
197566,943,0618129022,4
287153,1417,0930289595,5
255840,6665,0312960808,4
98408,575,0671867172,3
162311,4656,0440900794,5
59525,5738,3257228007,1
79801,11798,9722100262,4
288549,781,0811808149,5
146807,6939,0345433327,3
285580,1899,0312265859,5
83459,3408,0385484518,5
152132,7549,0316776963,3
121834,3670,2081643618,3
48596,571,0064460932,5
101740,2427,0440414539,4
214283,564,0670857246,5
36230,9335,0515126772,4
236763,399,0060928336,4
205307,96,0521655382,5
205917,228,0061030597,3
221205,1102,0516048546,4
21678,1398,0448405202,3
248215,1924,0307231038,5
108553,986,0743227441,5
40716,615,0671024094,5
209802,1343,0451167538,4
20315,1220,0385489129,3
149734,141,034538623X,5
12168,38,0385490445,5
142856,3437,006091565X,5
187004,747,0761132589,4
231478,643,0743435400,4
125097,946,0446404292,5
257207,1273,0064404188,4
255002,2567,0151002290,3
185261,3845,0671755064,4
40915,872,0345417623,2
105686,4927,059035342X,5
166902,781,0880383828,5
108753,6435,0441005241,5
50055,10453,0375704965,5
269565,8104,0449244741,4
277826,2721,0446519782,5
133264,300,0399142185,4
675,589,0671025341,4
296833,2020,1553692225,5
244713,1252,0671661043,3
223568,4548,0312983301,4
284148,10298,043935806X,5
205485,8213,1567183573,5
169270,5867,0399147926,4
104459,4492,0689811926,5
108458,8141,0425192733,5
63014,4276,0374361711,5
244455,2989,0743457358,5
110110,1262,0804113475,3
72402,3241,3596282225,4
124208,1221,0451526996,3
193639,1102,0840791135,3
94521,73,0949128260,5
162349,10471,014042346X,3
228436,3239,0195108825,4
45877,10154,0393307077,5
118553,68,0517560070,5
241321,10674,084235266X,4
151404,3751,059035342X,5
61530,5587,006016848X,5
269574,1342,0553239430,3
79081,257,0812505085,5
89223,91,0440219078,3
222860,837,0449222276,4
265511,2515,0764546090,4
212199,10018,0441569595,5
2600,1850,0590629786,4
150968,224,080411109X,4
12083,68,006091291X,4
87606,11981,3453115937,4
