User,Location,Age
3527,"Timmins, Ontario, Canada",0
6948,"Franktown, Colorado, USA",42
11942,"Ligonier, Pennsylvania, USA",57
7660,"Porto, Porto, Portugal",27
4886,"Neuffen, Baden-Wuerttemberg, Germany",37
1592,"Arden Hills, Minnesota, USA",0
8642,"College Station, Texas, USA",0
3139,"Minneapolis, Minnesota, USA",24
11824,"Newport News, Virginia, USA",0
9805,"Carmichael, California, USA",0
10717,"Charity, Missouri, USA",17
9706,"Nashville, Tennessee, USA",35
9670,"Barcelona, Catalunya, Spain",44
11593,"Mountain View, California, USA",17
6647,"Portland, Oregon, USA",29
9332,"Chevy Chase, DC, USA",0
5368,"Livingston, New Jersey, USA",0
10176,"Houston, Texas, USA",0
7081,"El Centro, California, USA",40
3399,"Washington, DC, USA",51
5031,"Dumas, Arkansas, USA",0
8259,"Springfield, Illinois, USA",0
11041,"Spokane, Washington, USA",0
10065,"Hollywood, Florida, USA",17
7564,"Marseille, Provence, France",41
5497,"San Diego, California, USA",20
5431,"Grenoble, Rhone-Alpes, France",23
2999,"Interlachen, Florida, USA",26
5726,"Roanoke, Virginia, USA",14
1437,"Cortland, New York, USA",29
9831,"Novinger, Missouri, USA",16
7811,"Stockton, California, USA",0
388,"Auckland, N/A, New Zealand",23
5310,"Sonoma, California, USA",34
12187,"Rockville, Maryland, USA",17
5357,"Bremen, Bremen, Germany",22
12398,"Chesterfield, Michigan, USA",24
2859,"Berkeley, California, USA",23
12478,"Bielefeld, Nordrhein-Westfalen, Germany",23
3936,"Scranton, Pennsylvania, USA",25
3965,"Worcester, Worcestershire, United Kingdom",21
8011,"King of Prussia, ,",36
6095,"Maidstone, England, United Kingdom",33
4332,"Edmonton, Alberta, Canada",19
11394,"Hurst, Texas, USA",49
6429,"Newport News, Virginia, USA",0
6806,"Calgary, Alberta, Canada",29
12573,"Bothell, Washington, USA",53
1181,"Berkeley, ,",22
8049,"Smyrna, Georgia, USA",22
9907,"Brier, Washington, USA",0
9869,"Milwaukee, Wisconsin, USA",25
3165,"Rennes, Bretagne, France",22
3314,"Dixon, California, USA",0
11976,"El Paso, Texas, USA",46
8569,"Farmington Hills, Michigan, USA",74
9762,"Winston-Salem, North Carolina, USA",47
2567,"North Avoca, New South Wales, Australia",0
3564,"St. Louis, Missouri, USA",36
11805,"Dallas, Texas,",0
5298,"Allendale, New Jersey, USA",30
10143,"Brooklyn, New York, USA",28
7820,"Normal, Illinois, USA",61
6902,"Albuquerque, New Mexico, USA",29
9270,"Collingswood, New Jersey, USA",27
8294,"Fort Worth, Texas, USA",0
7524,"Minneapolis, Minnesota, USA",26
9920,"Chelmsford, England, United Kingdom",53
7280,"Olympia, Washington, USA",26
1087,"Independence, West Virginia, USA",30
2264,"Chicago, Illinois, USA",25
5300,"Euless, Texas, USA",0
4672,"Provo, Utah, USA",24
561,"Bellingham, Washington, USA",22
3123,"Hualien, Taiwan, Taiwan",36
10977,"Kansas City, Missouri, USA",17
5995,"Wuppertal, Nordrhein-Westfalen, Germany",31
4228,"Colfax, Illinois, USA",0
11731,"Bray, Wicklow,",34
6987,"Oakland, California, USA",34
1034,"Seabeck, Washington, USA",31
1902,"Omaha, Nebraska, USA",27
7340,"Playa Del Rey, California, USA",0
917,"Logroo, La Rioja, Spain",21
9491,"Dudley, Massachusetts, USA",28
4183,"Minneapolis, Minnesota, USA",43
4367,"Charlotte, North Carolina, USA",0
9937,"Hammond, Indiana, USA",0
10633,"Oakland, California, USA",35
7038,"Chesapeake, Virginia, USA",33
2733,"Sunderland, Massachusetts, USA",30
9263,"Montreal, Quebec, Canada",24
8206,"N/A, Travelling, Canada",26
391,"Niskayuna, New York, USA",46
6657,"North Chili, New York, USA",35
4026,"Spring Hill, Tennessee, USA",30
951,"Cincinnati, Ohio, USA",23
529,"Grove City, Ohio, USA",34
1980,"Bryan, Texas, USA",23
5319,"Mountain Home, Idaho, USA",42
10356,"Kent, Ohio, USA",32
12402,"Mnchen, Bayern, Germany",48
3210,"Lake City, Florida, USA",37
5132,"San Antonio, Texas, USA",45
4248,"Atlanta, Georgia, USA",26
10580,"Torino, ,",25
4501,"Kingston, , USA",0
9137,"Shrewsbury, Massachusetts, USA",0
10924,"Los Angeles, California, USA",41
5378,"Staten Island, New York, USA",37
585,"Frisco, Texas, USA",42
5224,"Jefferson, Georgia, USA",34
5952,"Eugene, Oregon, USA",0
6421,"Cleveland, Ohio, USA",0
9530,"Dallas, Texas, USA",35
1166,"Beaverton, Oregon, USA",0
3637,"Wichita, Kansas, USA",71
591,"Richland, Washington, USA",25
12559,"Milan, Lombardia, Italy",21
9687,"Roma, Lazio, Italy",0
11967,"Memphis, Tennessee, USA",0
6668,"Lawrenceville, Georgia, USA",29
4974,"Austin, Texas, USA",34
1711,"Milwaukee, Wisconsin, USA",42
11221,"Milwaukee, Wisconsin, USA",0
6607,"Didsbury, Alberta, Canada",52
12259,"Bonn, Nordrhein-Westfalen, Germany",37
7317,"Grantsville, Utah, USA",0
9326,"Mckeesport, Pennsylvania, USA",60
9114,"Tucson, Arizona, USA",61
2685,"Tehran, Tehran, Iran",20
12632,"Colorado Springs, Colorado, USA",23
8554,"Barcelona, Barcelona, Spain",19
571,"Knoxville, Tennessee, USA",29
310,"Groveland, Massachusetts, USA",25
5097,"Elk Grove, California, USA",30
11251,"Ajax, Ontario, Canada",47
7187,"Aachen, Nordrhein-Westfalen, Germany",34
9460,"San Diego, California, USA",14
12055,"Amherst, New York, USA",0
11650,"Fort Wayne, Indiana, USA",36
10642,"Victoria, British Columbia, Canada",0
4533,"Madrid, Madrid, Spain",31
6466,"Bismarck, North Dakota, USA",68
7924,"N/A, N/A, USA",0
4039,"Halifax, Nova Scotia, Canada",25
10422,"Auckland, N/A, New Zealand",48
4224,"Sacramento, California, USA",0
10699,"Williamsburg, Massachusetts, USA",34
1500,"Barcelona, Catalunya, Spain",24
10926,"Hampton, Virginia, USA",23
636,"Eielson Afb, Alaska, USA",18
3717,"Madrid, Madrid, Spain",0
11458,"Norwich, England, United Kingdom",18
6659,"Langhorne, Pennsylvania, USA",0
8091,"Columbia, South Carolina, USA",29
1699,"Orlando, Florida, USA",23
4008,"Meriden, Connecticut, USA",46
4770,"Toronto, Ontario, Canada",25
1447,"Vienna, ,",0
4412,"St. Peters, Missouri, USA",0
8180,"North Oaks, Minnesota, USA",0
789,"New Orleans, Louisiana, USA",48
4529,"Poringland, England, United Kingdom",65
3742,"Birmingham, Alabama, USA",31
7771,"Haskell, New Jersey, USA",0
9426,"Estill Springs, Tennessee, USA",77
10036,"Hixson, Tennessee, USA",27
6160,"Mei Foo, Kowloon, Hong Kong",30
12080,"Augsburg, Bayern, Germany",0
8780,"Hemel Hempstead, England, United Kingdom",51
12288,"Austin, Texas, USA",20
4694,"Highland, Utah, USA",0
4870,"Birmingham, Alabama, USA",39
2217,"Anchorage, Alaska, USA",0
3520,"Anchorage, Alaska, USA",61
5629,"N/A, Connecticut, USA",0
11038,"Oldenburg, Niedersachsen, Germany",28
11435,"Lyon, N/A, France",31
5131,"Weehawken, New Jersey, USA",0
5728,"Rome, Lazio, Italy",38
12088,"Victoria, British Columbia, Canada",19
97,"Albq, New Mexico, USA",33
10192,"Boston, Massachusetts, USA",28
8852,"Balgach, St.Gallen, Switzerland",24
8123,"Aldergrove, British Columbia, Canada",0
7097,"Santa Monica, California, USA",40
10326,"Melbourne, Victoria, Australia",23
4069,"Little Rock, Arkansas, USA",32
6375,"Norfolk, Virginia, USA",18
8041,"Ny, New York, USA",35
6158,"Litchfield, Connecticut, USA",30
10093,"Rochester, New York, USA",18
12636,"London, England, United Kingdom",28
6114,"Grosse Pointe, Michigan, USA",0
4333,"Malden, Massachusetts, USA",0
10516,"Munich, Bayern, Germany",0
5393,"Ploiesti, Prahova, Romania",18
1786,"Charleston, South Carolina, USA",30
