Row	Num Theatres ^ 4	Actual Num Theatre	Production Budget	Predicted	Actual	Error	Error Pct	Revenue / Theatre
0	6561	9	4000000	424740.9982	85327	339413.9982	3.977803019	"$9,481"
1	1	1	0	1000	7276	6276	0.862561847	"$7,276"
2	9.35495E+13	3110	35000000	22276404.16	24255205	1978800.845	0.081582524	"$7,799"
3	1	1	0	1000	1765	765	0.433427762	"$1,765"
4	1	1	0	1000	6321	5321	0.841797184	"$6,321"
5	65610000	90	0	1000	118086	117086	0.991531596	"$1,312"
6	16	2	1000000	106185.2492	46908	59277.24923	1.263691678	"$23,454"
7	2.58828E+14	4011	151000000	67384534.73	150405412	83020877.27	0.551980651	"$37,498"
8	1.19024E+14	3303	32000000	27011889.36	16540720	10471169.36	0.633054024	"$5,008"
9	6250000	50	0	1000	20840	19840	0.952015355	$417
10	1.15874E+13	1845	0	2298899.765	6583135	4284235.235	0.650789515	"$3,568"
11	81	3	4750000	504379.9338	60886	443493.9338	7.284005089	"$20,295"
12	1	1	0	1000	270	730	2.703703704	$270
13	1	1	0	1000	1592	592	0.371859296	"$1,592"
14	2085136	38	9000000	955667.6567	180271	775396.6567	4.301283383	"$4,744"
15	1296	6	3000000	318555.7479	76324	242231.7479	3.17372973	"$12,721"
16	16	2	0	1000	5583	4583	0.820884829	"$2,792"
17	6.07573E+12	1570	10000000	2267257.978	3582554	1315296.022	0.367139204	"$2,282"
18	256	4	0	1000	23326	22326	0.957129384	"$5,832"
19	81	3	0	1000	11456	10456	0.912709497	"$3,819"
20	16	2	0	1000	2085	1085	0.520383693	"$1,043"
21	20736	12	0	1000	25829	24829	0.961283828	"$2,152"
22	4.43364E+11	816	0	87962.01895	1241079	1153116.981	0.929124561	"$1,521"
23	4.28156E+13	2558	30000000	11680035.84	9064880	2615155.841	0.288493156	"$3,544"
24	5.92996E+13	2775	25000000	14419484.19	5815474	8604010.194	1.479502822	"$2,096"
25	16	2	750000	79638.93692	8527	71111.93692	8.339619669	"$4,264"
26	1.64205E+12	1132	25000000	2980408.112	2525364	455044.1119	0.180189514	"$2,231"
27	8.24132E+13	3013	0	16350501.61	11585121	4765380.606	0.411336283	"$3,845"
28	1.05778E+14	3207	45000000	25764371.25	26857181	1092809.746	0.040689667	"$8,375"
29	2.89141E+12	1304	9000000	1529314.498	676048	853266.4977	1.262138928	$518
30	373301041	139	30000000	3185631.538	1008308	2177323.538	2.159383381	"$7,254"
31	1.03814E+13	1795	18000000	3970979.456	11478360	7507380.544	0.654046444	"$6,395"
32	256	4	0	1000	24591	23591	0.959334716	"$6,148"
33	16	2	3700000	392885.4221	4568	388317.4221	85.00819224	"$2,284"
34	1	1	0	1000	17234	16234	0.941975165	"$17,234"
35	1	1	0	1000	3025	2025	0.669421488	"$3,025"
36	6561	9	12000000	1274222.992	211559	1062663.992	5.023014819	"$23,507"
37	1296	6	0	1000	85007	84007	0.988236263	"$14,168"
38	4.23489E+13	2551	0	8401878.335	7603376	798502.3352	0.105019446	"$2,981"
39	1.64527E+13	2014	35000000	6980651.091	5914722	1065929.091	0.180216262	"$2,937"
40	57178852641	489	25000000	2665975.329	519489	2146486.329	4.13191873	"$1,062"
41	81	3	6000000	637111.4954	41367	595744.4954	14.40144307	"$13,789"
42	1	1	0	1000	2740	1740	0.635036496	"$2,740"
43	1.28215E+14	3365	50000000	30746785.98	25642640	5104145.984	0.199049161	"$7,620"
44	16	2	0	1000	7951	6951	0.874229657	"$3,976"
45	625	5	9400000	998141.3428	197703	800438.3428	4.04869093	"$39,541"
