Id	Num T ^ 4	Prod Budget	Actual	Predicted	Old Error	BB Adjusted	New Error					
0	1296	"$8,000,000"	"$20,774"	"$922,275"	"$901,501"	"$922,275"	"$901,501"					0.7
1	1	$0	"$10,805"	$0	"$10,805"	$0	"$10,805"					50000000
2	5.14331E+13	"$22,500,000"	"$20,617,667"	"$13,068,944"	"$7,548,723"	"$13,068,944"	"$7,548,723"					
3	1	$0	$818	$0	$818	$0	$818					
4	5.36181E+13	"$45,000,000"	"$11,855,260"	"$16,107,850"	"$4,252,590"	"$16,107,850"	"$4,252,590"					
5	256	"$12,000,000"	"$113,074"	"$1,383,412"	"$1,270,338"	"$1,383,412"	"$1,270,338"					
6	9.27101E+13	"$60,000,000"	"$70,885,301"	"$25,798,746"	"$45,086,555"	"$18,059,122"	"$52,826,179"					
7	6.64392E+13	"$30,000,000"	"$15,951,902"	"$16,989,786"	"$1,037,884"	"$16,989,786"	"$1,037,884"					
8	4.94646E+13	"$48,000,000"	"$14,035,033"	"$15,607,782"	"$1,572,749"	"$15,607,782"	"$1,572,749"					
9	104976	$0	"$120,207"	$0	"$120,207"	$0	"$120,207"					
10	1	$0	"$5,815"	$0	"$5,815"	$0	"$5,815"					
11	16	$0	"$15,667"	$0	"$15,667"	$0	"$15,667"					
12	1	$0	"$13,457"	$0	"$13,457"	$0	"$13,457"					
13	1E+12	$0	"$782,000"	"$203,664"	"$578,336"	"$203,664"	"$578,336"					
14	1	$0	"$1,810"	$0	"$1,810"	$0	"$1,810"					
15	7.21038E+13	$0	"$10,023,835"	"$14,684,929"	"$4,661,094"	"$14,684,929"	"$4,661,094"					
16	279841	"$45,000,000"	"$667,784"	"$5,187,795"	"$4,520,011"	"$5,187,795"	"$4,520,011"					
17	83521	$0	"$66,429"	$0	"$66,429"	$0	"$66,429"					
18	4.96888E+13	"$50,000,000"	"$12,582,088"	"$15,884,013"	"$3,301,925"	"$15,884,013"	"$3,301,925"					
19	4.62626E+13	"$55,000,000"	"$12,661,112"	"$15,762,658"	"$3,101,546"	"$11,033,861"	"$1,627,251"					
20	1	$0	"$10,194"	$0	"$10,194"	$0	"$10,194"					
21	625	$0	"$47,311"	$0	"$47,311"	$0	"$47,311"					
22	1	$0	"$7,035"	$0	"$7,035"	$0	"$7,035"					
23	2.32134E+13	"$8,000,000"	"$6,011,585"	"$5,649,995"	"$361,590"	"$5,649,995"	"$361,590"					
24	16	$0	"$16,338"	$0	"$16,338"	$0	"$16,338"					
25	531441	$0	"$479,368"	$0	"$479,368"	$0	"$479,368"					
26	5.25416E+12	"$55,000,000"	"$3,672,366"	"$7,410,720"	"$3,738,354"	"$5,187,504"	"$1,515,138"					
27	2.03525E+13	"$20,000,000"	"$2,834,421"	"$6,450,755"	"$3,616,334"	"$6,450,755"	"$3,616,334"					
28	1	$0	"$6,706"	$0	"$6,706"	$0	"$6,706"					
29	3.91877E+13	"$25,000,000"	"$7,576,593"	"$10,863,211"	"$3,286,618"	"$10,863,211"	"$3,286,618"					
30	2.76065E+12	$0	"$6,412,775"	"$562,245"	"$5,850,530"	"$562,245"	"$5,850,530"					
31	1.45821E+14	"$55,000,000"	"$44,307,417"	"$36,039,028"	"$8,268,389"	"$25,227,320"	"$19,080,097"					
32	3.91477E+11	$0	"$4,054,542"	"$79,730"	"$3,974,812"	"$79,730"	"$3,974,812"					
33	10000	$0	"$61,200"	$0	"$61,200"	$0	"$61,200"					
34	1	$0	"$4,778"	$0	"$4,778"	$0	"$4,778"					
35	5.0625E+12	"$17,000,000"	"$3,667,420"	"$2,990,881"	"$676,539"	"$2,990,881"	"$676,539"					
36	8.69914E+13	"$100,000,000"	"$43,565,135"	"$29,245,417"	"$14,319,718"	"$20,471,792"	"$23,093,343"					
37	256	$0	"$10,399"	$0	"$10,399"	$0	"$10,399"					
38	1	$0	"$18,102"	$0	"$18,102"	$0	"$18,102"					
39	7.96594E+12	"$14,000,000"	"$5,783,508"	"$3,236,354"	"$2,547,154"	"$3,236,354"	"$2,547,154"					
40	1	$0	"$5,310"	$0	"$5,310"	$0	"$5,310"					
41	1.21933E+14	"$18,500,000"	"$23,507,007"	"$26,966,094"	"$3,459,087"	"$26,966,094"	"$3,459,087"					
42	2401	$0	"$29,727"	$0	"$29,727"	$0	"$29,727"					
43	6.6359E+12	$0	"$7,681,171"	"$1,351,493"	"$6,329,678"	"$1,351,493"	"$6,329,678"					
44	16	$0	"$33,316"	$0	"$33,316"	$0	"$33,316"					
45	8.65365E+13	"$45,000,000"	"$8,432,465"	"$22,812,141"	"$14,379,676"	"$22,812,141"	"$14,379,676"					
46	3.69205E+13	"$40,000,000"	"$15,005,604"	"$12,130,742"	"$2,874,862"	"$12,130,742"	"$2,874,862"					
47	81	$0	"$25,504"	$0	"$25,504"	$0	"$25,504"					
48	625	$0	"$11,566"	$0	"$11,566"	$0	"$11,566"					
49	3.98179E+13	"$17,000,000"	"$7,482,669"	"$10,069,299"	"$2,586,630"	"$10,069,299"	"$2,586,630"					
50	5.91559E+11	"$750,000"	"$3,005,175"	"$206,942"	"$2,798,233"	"$206,942"	"$2,798,233"					
51	1	$0	"$2,032"	$0	"$2,032"	$0	"$2,032"					
52	256	$0	"$28,937"	$0	"$28,937"	$0	"$28,937"					
53	6.85109E+13	$0	"$18,517,017"	"$13,953,177"	"$4,563,840"	"$13,953,177"	"$4,563,840"					
54	5.38562E+13	"$20,000,000"	"$18,575,214"	"$13,274,248"	"$5,300,966"	"$13,274,248"	"$5,300,966"					
55	1	$0	"$3,333"	$0	"$3,333"	$0	"$3,333"					
56	256	$0	"$243,796"	$0	"$243,796"	$0	"$243,796"					
57	2.54925E+13	"$80,000,000"	"$4,294,936"	"$14,414,642"	"$10,119,706"	"$10,090,249"	"$5,795,313"					
58	20736	$0	"$135,733"	$0	"$135,733"	$0	"$135,733"					
59	2401	$0	"$68,779"	$0	"$68,779"	$0	"$68,779"					
60	625	"$30,000,000"	"$147,812"	"$3,458,530"	"$3,310,718"	"$3,458,530"	"$3,310,718"					
61	2.78384E+13	"$30,000,000"	"$8,040,854"	"$9,128,198"	"$1,087,344"	"$9,128,198"	"$1,087,344"					
62	16	$0	"$14,146"	$0	"$14,146"	$0	"$14,146"					
63	2.1567E+13	"$13,000,000"	"$4,454,319"	"$5,891,105"	"$1,436,786"	"$5,891,105"	"$1,436,786"					
64	625	$0	"$36,272"	$0	"$36,272"	$0	"$36,272"					
65	6.58643E+12	"$17,000,000"	"$11,554,404"	"$3,301,250"	"$8,253,154"	"$3,301,250"	"$8,253,154"					
66	1048576	"$30,000,000"	"$796,836"	"$3,458,530"	"$2,661,694"	"$3,458,530"	"$2,661,694"					
67	1	$0	"$15,637"	$0	"$15,637"	$0	"$15,637"					
