Id,Prediction
10000BC,29988799.745854
21,11891691.830673
27dresses,22052951.142133
88minutes,5032122.717182
airibreathe,0.000098
alexandra,0.000000
americancarol,1511422.312126
anamorph,0.000000
andwhendidyoulastseeyourfather,0.000174
appaloosa,0.001928
ashesoftimeredux,0.000023
august,0.000000
babylonad,34399729.778161
babymama,9992765.076201
babysitters,0.013462
bandsvisit,0.000098
bangkokdangerous2008,11930361.042546
bankjob,1373758.760346
battleinseattle,0.000174
bedtimestories,49017295.292294
beerformyhorses,6.033569
beforeiforget,0.000000
bekindrewind,72204.652153
benjaminbutton2008,16992285.838115
bolt,40224081.520687
bestofbothworlds,35051.398842
betrayal,0.000000
beverlyhillschihuahua,27388896.256337
biggerstrongerfaster,0.000050
blindmountain,0.000000
blindness2008,1724285.430540
boardinggate,0.000000
bodyoflies,11165629.303030
bonneville,9.446659
bottleshock,0.385508
boyinthestripedpajamas,0.004443
breakfastwithscot,0.000023
bridesheadrevisited,0.076967
burnafterreading,11949731.798613
businessofbeingborn,0.000000
bustindownthedoor,0.000023
cadillacrecords,35942.666906
caramel,0.000683
cassandrasdream,12.107280
changeling2008,0.002594
chaostheory,0.000683
chapter27,0.000000
charliebartlett,296254.948643
childrenofhuangshi,0.000098
chopshop,0.000000
chrisanddon,0.000000
christmasonmars,0.000000
cityofember,3728681.424448
cityofmen,2.626998
cj7,0.007167
clonewars,37187819.390699
cloverfield,35325451.572313
college2008,4598130.614644
collegeroadtrip,13052864.674868
counterfeiters,0.000174
cover,0.001928
csny,0.019571
cthulhu,0.000000
darkknight,86791121.322825
darkstreets,0.005680
daysandclouds,0.000000
daytheearthstoodstill,42455241.932160
dayzero,0.000000
deal2008,0.459481
dearzachary,0.000000
deathdefyingacts,0.000000
deathrace,8336987.882691
deception,3564994.054640
Defiance,0.000001
definitelymaybe,5401397.841588
delgo,4952761.998032
diaryofthedead2008,0.217104
disastermovie,11776261.092352
doomsday,3093067.135674
doubt,0.002594
drillbittaylor,22021948.027972
duchess2008,0.000098
eagleeye,33957511.410316
eden,0.000000
edgeofheaven,0.000000
elegy,0.000050
elitesquad,0.000000
encountersattheendoftheworld,0.000000
everybodywantstobeitalian,8.297905
expellednointelligenceallowed,224576.345320
express,15303961.823312
eye2008,8306319.838752
fall2006,0.000288
familythatpreys,4124476.317391
filthandwisdom,0.000000
findingamanda,0.001402
fireproof,84893.171846
firstsunday,5496881.930068
flashofgenius2008,269951.901715
flashpoint,0.000454
flawless2007,0.099126
flightoftheredballoon,0.000000
flowforloveofwater,0.000000
flymetothemoon,5940.070486
foolsgold,20604892.246367
forbiddenkingdom,21352237.337520
foreverstrong,1.516126
forgettingsarahmarshall,15070979.616244
fourchristmases,26386125.742481
frostnixon,0.000003
frozenriver,0.000098
fullbattlerattle,0.000000
