applicationtype-Win32Application,executionstatus-CouldNotCreateProcess,executionstatus-CouldNotInstallHook,executionstatus-OK,executionstatus-WindowsLoaderError,first_call-load_image,num_accept_socket,num_add_netjob,num_bind_socket,num_change_service_config,num_check_for_debugger,num_com_create_instance,num_com_createole_object,num_com_get_class_object,num_connect,num_connect_socket,num_control_service,num_copy_file,num_create_directory,num_create_file,num_create_interface,num_create_key,num_create_mailslot,num_create_mutex,num_create_namedpipe,num_create_open_file,num_create_process_as_user,num_create_process_nt,num_create_service,num_create_socket,num_create_thread,num_create_thread_remote,num_create_window,num_delete_file,num_delete_key,num_delete_service,num_delete_share,num_delete_value,num_destroy_window,num_download_file,num_download_file_to_cache,num_dump_line,num_enum_handles,num_enum_items,num_enum_keys,num_enum_modules,num_enum_processes,num_enum_services,num_enum_share,num_enum_subtypes,num_enum_types,num_enum_values,num_enum_window,num_exit_windows,num_find_file,num_find_window,num_get_computer_name,num_get_file_attributes,num_get_host_by_addr,num_get_system_directory,num_get_system_time,num_get_userinfo,num_get_username,num_get_windows_directory,num_impersonate_user,num_kill_process,num_listen_socket,num_load_dll,num_load_driver,num_load_image,num_logon_as_user,num_message,num_move_file,num_open_file,num_open_key,num_open_mutex,num_open_process,num_open_scmanager,num_open_service,num_open_url,num_process,num_read_section,num_read_value,num_recv_socket,num_remove_directory,num_revert_to_self,num_send_socket,num_set_file_attributes,num_set_file_time,num_set_system_time,num_set_thread_context,num_set_value,num_set_windows_hook,num_show_window,num_sleep,num_start_service,num_system_calls,num_thread,num_trimmed_bytes,num_unload_driver,num_vm_allocate,num_vm_mapviewofsection,num_vm_protect,num_vm_read,num_vm_write,num_write_value,startreason-AnalysisTarget,startreason-BHOInstalled,startreason-CreateProcess,startreason-DCOMService,startreason-InjectedCode,startreason-SCM,startreason-SvcHost,terminationreason-KilledByWindowsLoader,terminationreason-NormalTermination,terminationreason-Timeout,terminationreason-Unknown,username-Administrator,username-LOKALER DIENST,username-NETZWERKDIENST,username-SYSTEM,y
1,0,0,3,0,1,0,0,0,0,1,2,0,1,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,2,0,11,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,51,0,6,1,0,11,0,12,0,0,0,3,0,1,0,80,0,2,0,0,0,12,95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0,643,3,0,0,0,0,36,0,0,0,1,0,1,1,0,0,0,0,2,1,0,2,0,0,1,8
1,0,0,6,0,1,0,0,3,0,2,300,0,201,1,3,0,1,7,91,0,3,0,28,0,10,0,0,0,7,19,0,31,15,4,0,0,2,65,0,0,55,0,0,260,0,197,0,0,0,0,6,80,0,50,42,12,128,0,54,9,0,3,0,3,1,0,239,0,3,0,0,0,170,1515,5,24,2,1,1,3,1,13,4,1,0,2,20,15,0,0,7,14,3,199,0,5422,20,1,0,0,0,151,0,0,0,1,0,3,1,0,1,0,0,2,4,0,4,0,0,2,6
1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,2,0,8,0,0,1,1,0,1,0,26,0,1,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,1,0,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12
1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,19,7,0,0,0,8,0,0,0,0,0,0,0,0,11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,41,3,1,77,0,17,3,0,0,5,0,0,0,38,0,1,0,0,5,21,20,0,4,0,0,0,1,0,44,0,0,1,0,3,3,0,0,0,2,5,0,0,430,1,0,0,0,0,54,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1,8
1,0,0,3,0,1,0,0,0,0,2,5,0,2,0,2,0,0,0,1,0,0,0,13,0,15,0,0,0,4,7,2,4,0,0,0,0,0,0,0,0,636,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,1,0,12,2,0,4,0,0,1,0,103,0,2,0,41,0,12,43,0,0,0,0,0,1,0,0,31,0,0,9,0,0,0,0,0,4,0,2,0,1085,3,38,0,8,0,25,0,5,0,1,0,1,1,0,0,0,0,1,2,0,2,0,0,1,10
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,14
1,0,0,3,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,49,0,6,6,0,7,0,14,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,650,2,0,0,0,0,36,0,0,0,1,0,1,1,0,0,0,0,2,1,0,2,0,0,1,8
1,0,0,2,0,1,0,0,10,0,5,32,0,0,0,10,0,0,0,0,0,1,0,6,0,5,0,0,0,16,7,0,4,0,0,0,0,0,3,0,0,853,0,0,2,0,0,0,0,0,0,2,4,0,3,0,1,4,0,8,1,0,0,1,1,1,0,43,0,1,0,0,0,3,49,0,0,0,0,0,1,0,2,46,0,0,11,0,0,0,0,1,3,1,3,0,1238,4,48,0,0,0,20,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,8
1,0,0,3,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,4,0,0,18,0,4,0,0,0,0,0,2,0,54,0,2,0,0,0,15,85,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,1,0,494,2,0,0,0,0,32,0,0,0,1,0,1,1,0,0,0,0,2,1,0,2,0,0,1,8
1,0,0,3,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,48,0,6,1,0,7,0,12,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,636,2,0,0,0,0,36,0,0,0,1,0,1,1,0,0,0,0,2,1,0,2,0,0,1,8
