fruit,width,height
1,8.4,7.3
1,8,6.8
1,7.4,7.2
1,7.1,7.8
1,7.4,7
1,6.9,7.3
1,7.1,7.6
1,7,7.1
1,7.3,7.7
1,7.6,7.3
1,7.7,7.1
1,7.6,7.5
1,7.5,7.6
1,7.5,7.1
1,7.4,7.2
1,7.5,7.5
1,7.4,7.4
1,7.3,7.1
1,7.6,7.9
2,6.2,4.7
2,6,4.6
2,5.8,4.3
2,5.9,4.3
2,5.8,4
2,9,9.4
2,9.2,9.2
2,9.6,9.2
2,7.5,9.2
2,6.7,7.1
2,7,7.4
2,7.1,7.5
2,7.8,8
2,7.2,7
2,7.5,8.1
2,7.6,7.8
2,7.1,7.9
2,7.1,7.6
2,7.3,7.3
2,7.2,7.8
2,6.8,7.4
2,7.1,7.5
2,7.6,8.2
2,7.2,7.2
3,7.2,10.3
3,7.3,10.5
3,7.2,9.2
3,7.3,10.2
3,7.3,9.7
3,7.3,10.1
3,5.8,8.7
3,6,8.2
3,6,7.5
3,5.9,8
3,6,8.4
3,6.1,8.5
3,6.3,7.7
3,5.9,8.1
3,6.5,8.5
3,6.1,8.1
